Id;Prop1;Prop2;Prop3;Prop4;Prop5
1;;;;;
2;;;;;
3;Red Pixel Glasses;Black Earrings;Oops Left;Balbo Black Beard;Hate Print
4;Eyes Wide Open;Black Earrings;Oops Left;Hate Print;
5;Eyes Wide Open;Black Earrings;Wooah;Hate Print;
6;Eyes Wide Open;Black Earrings;Wide Smile;Heart Print;
7;Red Pixel Glasses;Black Earrings;Oops Left;Balbo Black Beard;Yellow Parrot Print
8;Red Pixel Glasses;Black Earrings;Oops Left;Balbo Black Beard;Yellow Parrot Print
9;Red Pixel Glasses;Black Earrings;Oops Left;Balbo Black Beard;Blue Parrot Print
10;Eyes Wide Open;Black Earrings;Wide Smile;Blue Parrot Print;
11;Eyes Wide Open;Black Earrings;Wide Smile;Yellow Parrot Print;
12;Eyes Wide Open;Black Earrings;Wooah;;
13;Eyes Wide Open;Black Earrings;Wooah;;
14;Pirate Eye;Black Earrings;Sad Face;;
15;;;;;
16;Sunglasses;Black Earrings;3-day Stubble Black;;
17;Eyes Wide Open;Black Earrings;Mexican Mustache;Chin Strap Black Beard;
18;Pirate Eye;LOL Teeth;;;
19;;;;;
20;;;;;
21;;;;;
22;Eyes Wide Open;;;;
23;Eyes Wide Open;;;;
24;Eyes Wide Open;;;;
25;Eyes Wide Open;;;;
26;Eyes Wide Open;;;;
27;Eyes Wide Open;;;;
28;Eyes Wide Open;;;;
29;Eyes Wide Open;;;;
30;Smile;;;;
31;Smile;;;;
32;Eyes Wide Open;Smile;;;
33;Eyes Wide Open;Smile;;;
34;Eyes Wide Open;Smile;;;
35;Eyes Wide Open;Smile;;;
36;Eyes Wide Open;Smile;;;
37;Eyes Wide Open;Smile;;;
38;Eyes Wide Open;Smile;;;
39;Eyes Wide Open;Smile;;;
40;Eyes Wide Open;Vampire;;;
41;Blah-blah Eyes;Black Earrings;LOL Teeth;3-day Stubble Black;
42;Pirate Eye;White Beard;;;
43;Eyes To The Right;Long Red Right Earring;Vampire;Short Box Orange Beard;Love Print
44;Sunglasses;Wide Smile;Gunslinger Black Beard;Blue Parrot Print;
45;Blah-blah Eyes;Red Right Earring;Smile;3-day Stubble Black;
46;Blah-blah Eyes;Long Black Earrings;Wooah;Chin Strap Orange Beard;Heart Print
47;Eyes To The Right;Long Red Earrings;Sad Face;Hipster Orange Beard;Berry Print
48;Eyes To The Left;Black Earrings;Piglet Mouth;Chin Strap Black Beard;Blue Parrot Print
49;Eyes To The Left;Long Black Left Earring;Black Mustache;Balbo Black Beard;Unique Black Logo
50;Red Right Earring;LOL Teeth;Chin Strap Black Beard;Love Print;
51;Red Pixel Glasses;Black Right Earring;LOL Teeth;Hipster Orange Beard;Black Heart Print
52;Eyes To The Left;Black Right Earring;Chin Strap Orange Beard;Orange Print;
53;Eyes To The Left;Red Earrings;Wooah;3-day Stubble Orange;
54;Eyes Up;Black Right Earring;Piglet Mouth;3-day Stubble Orange;Heart Print
55;Eyes Up;Long Red Left Earring;Sad Face;3-day Stubble Black;
56;Eyes To The Right;Black Left Earring;Wooah;Balbo Orange Beard;Heart Print
57;Sunglasses;Black Right Earring;Black Mustache;Chin Strap Orange Beard;
58;Eyes Up;Black Right Earring;Wide Smile;Balbo Orange Beard;
59;Eyes To The Left;Black Left Earring;Smile;Chin Strap Black Beard;Blue Parrot Print
60;Eyes Wide Open;Long Red Earrings;Wooah;Gunslinger Orange Beard;
61;Long Red Right Earring;Wide Smile;3-day Stubble Orange;Blue Parrot Print;
62;Eyes Wide Open;Black Earrings;Piglet Mouth;Short Box Orange Beard;
